CaseMasterID,ActID,SectionID,ActOrderID,SectionOrderID
1,IPC,395,1,1
2,IPC,379,1,1
3,IPC,380,1,1
4,IPC,489A,1,1
5,IPC,454,1,1
5,IPC,457,2,2
6,IPC,324,1,1
6,IPC,326,2,2
7,NDPS,20,1,1
7,NDPS,22,2,2
8,ITACT,66C,1,1
8,ITACT,66D,2,2
9,IPC,454,1,1
9,IPC,457,2,2
10,IPC,420,1,1
11,ITACT,66C,1,1
11,ITACT,66D,2,2
12,IPC,324,1,1
12,IPC,326,2,2
13,IPC,379,1,1
14,IPC,324,1,1
14,IPC,326,2,2
15,IPC,379,1,1
16,IPC,392,1,1
17,IPC,379,1,1
18,IPC,307,1,1
19,IPC,454,1,1
19,IPC,457,2,2
20,IPC,379,1,1
20,IPC,356,2,2
21,IPC,379,1,1
22,IPC,379,1,1
23,IPC,420,1,1
24,IPC,379,1,1
25,IPC,379,1,1
26,IPC,379,1,1
27,IPC,392,1,1
28,IPC,307,1,1
29,IPC,147,1,1
29,IPC,148,2,2
30,IPC,454,1,1
30,IPC,457,2,2
31,IPC,147,1,1
31,IPC,148,2,2
32,IPC,454,1,1
32,IPC,457,2,2
33,ITACT,66C,1,1
33,ITACT,66D,2,2
34,IPC,384,1,1
35,IPC,147,1,1
35,IPC,148,2,2
36,IPC,380,1,1
37,IPC,392,1,1
38,IPC,379,1,1
38,IPC,356,2,2
39,IPC,379,1,1
40,IPC,324,1,1
40,IPC,326,2,2
41,IPC,363,1,1
41,IPC,365,2,2
42,IPC,420,1,1
43,IPC,379,1,1
43,IPC,356,2,2
44,IPC,302,1,1
45,ITACT,66C,1,1
45,ITACT,66D,2,2
46,IPC,379,1,1
47,ITACT,66C,1,1
47,ITACT,66D,2,2
48,IPC,379,1,1
48,IPC,356,2,2
49,IPC,379,1,1
49,IPC,356,2,2
50,IPC,392,1,1
51,IPC,454,1,1
51,IPC,457,2,2
52,IPC,147,1,1
52,IPC,148,2,2
53,IPC,380,1,1
54,IPC,380,1,1
55,IPC,379,1,1
55,IPC,356,2,2
56,IPC,454,1,1
56,IPC,457,2,2
57,IPC,392,1,1
58,IPC,420,1,1
59,IPC,395,1,1
60,IPC,392,1,1
61,IPC,380,1,1
62,IPC,302,1,1
63,IPC,420,1,1
64,IPC,379,1,1
