CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,PolicePersonID,PoliceStationID,CaseCategoryID,GravityOffenceID,CrimeMajorHeadID,CrimeMinorHeadID,CaseStatusID,CourtID,IncidentFromDate,IncidentToDate,InfoReceivedPSDate,latitude,longitude,BriefFacts
1,104100019202600001,202600001,2026-02-12,57,19,1,1,2,6,2,,2026-02-12 00:00:00,2026-02-13 00:00:00,2026-02-12 00:00:00,13.284977975729479,77.13552038950398,Dacoity reported under city limits of Tumakuru. Modus operandi: armed robbery.
2,104100019202600002,202600002,2026-06-08,56,19,1,2,2,4,2,,2026-06-05 00:00:00,2026-06-06 00:00:00,2026-06-08 00:00:00,13.343171261893213,77.05256847149711,Vehicle Theft reported under city limits of Tumakuru. Modus operandi: vehicle lifting.
3,104050010202600001,202600001,2026-06-04,30,10,1,2,2,2,2,,2026-06-04 00:00:00,2026-06-05 00:00:00,2026-06-04 00:00:00,15.767232832054422,74.46705027160681,House Theft reported under rural limits of Belagavi. Modus operandi: lock breaking.
4,104090018202500001,202500001,2025-05-10,53,18,1,1,3,16,3,9,2025-05-10 00:00:00,2025-05-11 00:00:00,2025-05-10 00:00:00,13.963642419783957,75.5482402015565,Counterfeiting reported under rural limits of Shivamogga. Modus operandi: syndicate.
5,104090017202600001,202600001,2026-04-30,49,17,1,2,2,1,2,,2026-04-30 00:00:00,2026-05-01 00:00:00,2026-04-30 00:00:00,13.844514531691186,75.5934096500691,Burglary reported under city limits of Shivamogga. Modus operandi: lock breaking.
6,104020003202600001,202600001,2026-05-11,8,3,1,2,1,9,4,2,2026-05-09 00:00:00,2026-05-10 00:00:00,2026-05-11 00:00:00,12.243589827086963,76.69315275766942,Assault reported under city limits of Mysuru. Modus operandi: street fight.
7,104110022202500001,202500001,2025-12-14,65,22,1,1,6,12,4,11,2025-12-11 00:00:00,2025-12-12 00:00:00,2025-12-14 00:00:00,13.402072995199449,74.68095226664133,Drug Trafficking reported under rural limits of Udupi. Modus operandi: drug courier.
8,104060011202500001,202500001,2025-06-06,31,11,1,2,4,11,1,,2025-06-04 00:00:00,2025-06-05 00:00:00,2025-06-06 00:00:00,17.35451129689142,76.91268131071534,Cybercrime reported under city limits of Kalaburagi. Modus operandi: fake upi link.
9,104100019202600003,202600003,2026-05-13,55,19,1,2,2,1,1,,2026-05-11 00:00:00,2026-05-12 00:00:00,2026-05-13 00:00:00,13.34058442686647,77.15604507168774,Burglary reported under city limits of Tumakuru. Modus operandi: cctv blindspot.
10,104020003202500001,202500001,2025-04-23,7,3,1,2,3,10,3,2,2025-04-22 00:00:00,2025-04-23 00:00:00,2025-04-23 00:00:00,12.267111897542328,76.60932204832844,Cheating & Fraud reported under city limits of Mysuru. Modus operandi: impersonation.
