CSID,CaseMasterID,csdate,cstype,PolicePersonID
1,4,2025-06-08,A,53
2,6,2026-05-30,A,8
3,7,2026-02-19,A,65
4,10,2025-07-18,A,7
5,11,2025-12-09,B,44
6,14,2026-06-11,A,35
7,15,2026-06-06,A,45
8,16,2025-04-26,A,29
9,18,2026-04-02,A,27
10,20,2025-06-13,A,9
11,24,2026-07-15,A,5
12,28,2026-07-15,A,23
13,29,2025-09-05,A,42
14,30,2025-08-30,A,26
15,31,2026-06-10,A,16
16,33,2026-04-12,A,51
17,34,2026-05-15,A,29
18,37,2025-03-20,A,50
19,38,2026-06-12,A,13
20,40,2025-11-09,A,43
21,41,2026-02-14,A,8
22,44,2026-06-01,A,20
23,49,2026-07-15,A,21
24,51,2025-07-29,A,67
25,52,2026-03-12,A,33
26,53,2026-05-28,A,43
27,61,2026-05-20,C,45
28,62,2026-05-26,A,21
29,67,2025-04-20,A,61
30,68,2026-07-15,A,51
31,69,2025-05-27,A,7
32,71,2026-03-15,A,52
33,72,2026-06-30,A,61
34,73,2026-07-06,A,9
35,74,2026-07-15,B,15
36,75,2026-05-09,A,2
37,77,2026-01-29,A,14
38,78,2026-03-20,A,4
39,79,2025-08-31,A,26
40,80,2025-09-18,A,1
41,87,2025-12-12,A,46
42,90,2026-07-08,A,41
43,99,2025-12-28,A,18
44,100,2026-03-08,A,59
45,102,2026-07-15,A,33
46,104,2026-04-18,A,13
47,105,2025-06-06,B,16
48,107,2026-02-11,A,43
49,109,2025-09-10,A,30
50,110,2025-08-16,A,21
51,115,2026-07-15,B,1
52,116,2026-05-23,C,26
53,117,2026-05-04,A,16
54,118,2026-05-02,A,68
55,121,2026-05-06,A,13
56,124,2026-04-11,A,49
57,125,2025-06-30,A,68
58,132,2026-07-15,A,34
59,133,2025-09-04,A,32
60,135,2026-06-11,A,48
61,138,2026-07-15,A,15
62,140,2026-04-26,A,47
63,146,2025-12-30,A,24
64,149,2026-04-17,A,58
65,151,2026-03-28,A,71
66,154,2025-02-27,A,49
67,156,2026-07-13,A,49
68,159,2026-06-29,A,24
69,172,2026-01-13,A,64
70,177,2026-04-21,A,17
71,178,2026-07-15,A,36
72,179,2025-09-01,A,13
73,181,2025-05-06,A,59
74,182,2026-05-28,B,35
75,184,2026-07-15,A,56
76,189,2026-07-15,A,44
77,191,2026-07-15,B,70
78,192,2026-07-14,A,70
79,193,2026-07-15,A,16
80,197,2025-08-16,A,48
81,199,2025-05-21,A,60
82,201,2026-07-15,A,63
83,202,2026-01-15,A,60
84,207,2026-07-02,B,20
85,208,2025-11-22,A,1
86,209,2026-07-15,A,5
87,210,2026-05-29,C,15
88,213,2025-05-22,A,8
89,219,2026-04-11,A,42
