CourtID,CourtName,DistrictID,StateID,Active
1,Bengaluru Urban District & Sessions Court,401,1,1
2,Mysuru District & Sessions Court,402,1,1
3,Dakshina Kannada District & Sessions Court,403,1,1
4,Hubballi-Dharwad District & Sessions Court,404,1,1
5,Belagavi District & Sessions Court,405,1,1
6,Kalaburagi District & Sessions Court,406,1,1
7,Ballari District & Sessions Court,407,1,1
8,Vijayapura District & Sessions Court,408,1,1
9,Shivamogga District & Sessions Court,409,1,1
10,Tumakuru District & Sessions Court,410,1,1
11,Udupi District & Sessions Court,411,1,1
12,Mandya District & Sessions Court,412,1,1
