fir_id,criminal_id,role
1,62,prime_accused
1,65,accused
3,69,prime_accused
4,38,prime_accused
4,9,accused
4,6,accused
6,64,prime_accused
6,21,accused
7,61,prime_accused
7,29,accused
9,61,prime_accused
9,28,accused
13,35,prime_accused
13,65,accused
13,66,accused
15,41,prime_accused
15,19,accused
15,24,accused
17,3,prime_accused
17,9,accused
17,5,accused
20,64,prime_accused
23,65,prime_accused
23,26,accused
24,45,prime_accused
25,69,prime_accused
25,18,accused
27,8,prime_accused
28,23,prime_accused
29,5,prime_accused
29,30,accused
29,34,accused
30,63,prime_accused
31,22,prime_accused
31,34,accused
32,39,prime_accused
32,43,accused
32,69,accused
33,50,prime_accused
33,51,accused
34,54,prime_accused
34,67,accused
35,24,prime_accused
35,65,accused
35,49,accused
36,55,prime_accused
37,38,prime_accused
37,50,accused
37,64,accused
39,13,prime_accused
39,6,accused
40,59,prime_accused
40,68,accused
42,26,prime_accused
42,59,accused
42,69,accused
43,64,prime_accused
43,7,accused
43,27,accused
44,26,prime_accused
44,64,accused
44,32,accused
45,32,prime_accused
46,10,prime_accused
46,26,accused
46,65,accused
47,43,prime_accused
47,65,accused
48,66,prime_accused
49,40,prime_accused
50,10,prime_accused
50,65,accused
52,35,prime_accused
53,50,prime_accused
53,36,accused
54,16,prime_accused
55,7,prime_accused
55,5,accused
55,25,accused
56,51,prime_accused
59,23,prime_accused
60,23,prime_accused
60,27,accused
60,6,accused
61,41,prime_accused
61,44,accused
62,60,prime_accused
64,40,prime_accused
65,1,prime_accused
65,35,accused
65,64,accused
66,24,prime_accused
67,56,prime_accused
67,29,accused
68,50,prime_accused
68,9,accused
72,25,prime_accused
73,12,prime_accused
73,38,accused
73,40,accused
74,30,prime_accused
74,34,accused
75,23,prime_accused
75,42,accused
76,58,prime_accused
76,5,accused
77,27,prime_accused
77,9,accused
77,46,accused
78,66,prime_accused
79,43,prime_accused
80,34,prime_accused
81,44,prime_accused
81,5,accused
83,5,prime_accused
83,57,accused
83,1,accused
84,18,prime_accused
84,67,accused
86,48,prime_accused
86,45,accused
86,30,accused
87,22,prime_accused
92,61,prime_accused
92,44,accused
92,1,accused
93,39,prime_accused
93,31,accused
