id,fir_number,station_id,crime_type,ipc_sections,district,taluk,lat,lng,occurred_at,reported_at,status,severity,modus,description
1,104100019202600001,19,Dacoity,IPC 395,Tumakuru,,13.284977975729479,77.13552038950398,2026-02-12 00:00:00,2026-02-12 00:00:00,under_investigation,critical,armed_robbery,Dacoity reported under city limits of Tumakuru. Modus operandi: armed robbery.
2,104100019202600002,19,Vehicle Theft,IPC 379,Tumakuru,,13.343171261893213,77.05256847149711,2026-06-05 00:00:00,2026-06-08 00:00:00,under_investigation,medium,vehicle_lifting,Vehicle Theft reported under city limits of Tumakuru. Modus operandi: vehicle lifting.
3,104050010202600001,10,House Theft,IPC 380,Belagavi,,15.767232832054422,74.46705027160681,2026-06-04 00:00:00,2026-06-04 00:00:00,under_investigation,medium,lock_breaking,House Theft reported under rural limits of Belagavi. Modus operandi: lock breaking.
4,104090018202500001,18,Counterfeiting,IPC 489A,Shivamogga,,13.963642419783957,75.5482402015565,2025-05-10 00:00:00,2025-05-10 00:00:00,charge_sheeted,high,syndicate,Counterfeiting reported under rural limits of Shivamogga. Modus operandi: syndicate.
5,104090017202600001,17,Burglary,"IPC 454, IPC 457",Shivamogga,,13.844514531691186,75.5934096500691,2026-04-30 00:00:00,2026-04-30 00:00:00,under_investigation,medium,lock_breaking,Burglary reported under city limits of Shivamogga. Modus operandi: lock breaking.
6,104020003202600001,3,Assault,"IPC 324, IPC 326",Mysuru,,12.243589827086963,76.69315275766942,2026-05-09 00:00:00,2026-05-11 00:00:00,closed,medium,street_fight,Assault reported under city limits of Mysuru. Modus operandi: street fight.
7,104110022202500001,22,Drug Trafficking,"NDPS 20, NDPS 22",Udupi,,13.402072995199449,74.68095226664133,2025-12-11 00:00:00,2025-12-14 00:00:00,closed,high,drug_courier,Drug Trafficking reported under rural limits of Udupi. Modus operandi: drug courier.
8,104060011202500001,11,Cybercrime,"ITACT 66C, ITACT 66D",Kalaburagi,,17.35451129689142,76.91268131071534,2025-06-04 00:00:00,2025-06-06 00:00:00,registered,medium,fake_upi_link,Cybercrime reported under city limits of Kalaburagi. Modus operandi: fake upi link.
9,104100019202600003,19,Burglary,"IPC 454, IPC 457",Tumakuru,,13.34058442686647,77.15604507168774,2026-05-11 00:00:00,2026-05-13 00:00:00,registered,medium,cctv_blindspot,Burglary reported under city limits of Tumakuru. Modus operandi: cctv blindspot.
10,104020003202500001,3,Cheating & Fraud,IPC 420,Mysuru,,12.267111897542328,76.60932204832844,2025-04-22 00:00:00,2025-04-23 00:00:00,charge_sheeted,medium,impersonation,Cheating & Fraud reported under city limits of Mysuru. Modus operandi: impersonation.
11,104080015202500001,15,Cybercrime,"ITACT 66C, ITACT 66D",Vijayapura,,16.816545547852108,75.67822124387602,2025-11-19 00:00:00,2025-11-21 00:00:00,closed,medium,otp_fraud,Cybercrime reported under city limits of Vijayapura. Modus operandi: otp fraud.
12,104040007202600001,7,Assault,"IPC 324, IPC 326",Hubballi-Dharwad,,15.442255465139448,75.09732692521158,2026-07-09 00:00:00,2026-07-11 00:00:00,under_investigation,medium,personal_enmity,Assault reported under city limits of Hubballi-Dharwad. Modus operandi: personal enmity.
13,104060011202600001,11,Vehicle Theft,IPC 379,Kalaburagi,,17.291751121187396,76.80102706632874,2026-03-20 00:00:00,2026-03-22 00:00:00,under_investigation,medium,vehicle_lifting,Vehicle Theft reported under city limits of Kalaburagi. Modus operandi: vehicle lifting.
14,104060012202600001,12,Assault,"IPC 324, IPC 326",Kalaburagi,,17.251243828034774,76.7650469717646,2026-04-12 00:00:00,2026-04-13 00:00:00,charge_sheeted,medium,personal_enmity,Assault reported under rural limits of Kalaburagi. Modus operandi: personal enmity.
15,104080015202600001,15,Vehicle Theft,IPC 379,Vijayapura,,16.866663110577317,75.62393450181,2026-04-06 00:00:00,2026-04-08 00:00:00,charge_sheeted,medium,vehicle_lifting,Vehicle Theft reported under city limits of Vijayapura. Modus operandi: vehicle lifting.
16,104050010202500001,10,Robbery,IPC 392,Belagavi,,15.823848124321364,74.43249989318642,2025-02-25 00:00:00,2025-02-28 00:00:00,charge_sheeted,high,armed_robbery,Robbery reported under rural limits of Belagavi. Modus operandi: armed robbery.
17,304070013202600001,13,Vehicle Theft,IPC 379,Ballari,,15.12344713486787,76.89362998114304,2026-02-15 00:00:00,2026-02-17 00:00:00,registered,medium,duplicate_key,Vehicle Theft reported under city limits of Ballari. Modus operandi: duplicate key.
18,104050009202600001,9,Attempt to Murder,IPC 307,Belagavi,,15.783305749132111,74.58125241829529,2026-01-20 00:00:00,2026-01-21 00:00:00,charge_sheeted,high,personal_enmity,Attempt to Murder reported under city limits of Belagavi. Modus operandi: personal enmity.
19,104070013202600001,13,Burglary,"IPC 454, IPC 457",Ballari,,15.083802636773884,76.95369491095525,2026-06-26 00:00:00,2026-06-26 00:00:00,registered,medium,lock_breaking,Burglary reported under city limits of Ballari. Modus operandi: lock breaking.
