CaseMasterID,PlaceOfOccurance,OccuranceFrom,OccuranceTo
1,"Bus Stand, Tumakuru",2026-02-12T00:00:00.000Z,2026-02-13T00:00:00.000Z
2,"Bus Stand, Tumakuru",2026-06-05T00:00:00.000Z,2026-06-06T00:00:00.000Z
3,"Market Rd, Belagavi",2026-06-04T00:00:00.000Z,2026-06-05T00:00:00.000Z
4,"Market Rd, Shivamogga",2025-05-10T00:00:00.000Z,2025-05-11T00:00:00.000Z
5,"Market Rd, Shivamogga",2026-04-30T00:00:00.000Z,2026-05-01T00:00:00.000Z
6,"Market Rd, Mysuru",2026-05-09T00:00:00.000Z,2026-05-10T00:00:00.000Z
7,"Old Town, Udupi",2025-12-11T00:00:00.000Z,2025-12-12T00:00:00.000Z
8,"Market Rd, Kalaburagi",2025-06-04T00:00:00.000Z,2025-06-05T00:00:00.000Z
9,"NH-Bypass, Tumakuru",2026-05-11T00:00:00.000Z,2026-05-12T00:00:00.000Z
10,"NH-Bypass, Mysuru",2025-04-22T00:00:00.000Z,2025-04-23T00:00:00.000Z
11,"NH-Bypass, Vijayapura",2025-11-19T00:00:00.000Z,2025-11-20T00:00:00.000Z
12,"NH-Bypass, Hubballi-Dharwad",2026-07-09T00:00:00.000Z,2026-07-10T00:00:00.000Z
13,"NH-Bypass, Kalaburagi",2026-03-20T00:00:00.000Z,2026-03-21T00:00:00.000Z
14,"Market Rd, Kalaburagi",2026-04-12T00:00:00.000Z,2026-04-13T00:00:00.000Z
15,"Market Rd, Vijayapura",2026-04-06T00:00:00.000Z,2026-04-07T00:00:00.000Z
16,"Bus Stand, Belagavi",2025-02-25T00:00:00.000Z,2025-02-26T00:00:00.000Z
17,"Bus Stand, Ballari",2026-02-15T00:00:00.000Z,2026-02-16T00:00:00.000Z
18,"Bus Stand, Belagavi",2026-01-20T00:00:00.000Z,2026-01-21T00:00:00.000Z
19,"Bus Stand, Ballari",2026-06-26T00:00:00.000Z,2026-06-27T00:00:00.000Z
20,"Market Rd, Mysuru",2025-04-01T00:00:00.000Z,2025-04-02T00:00:00.000Z
21,"NH-Bypass, Vijayapura",2025-07-16T00:00:00.000Z,2025-07-17T00:00:00.000Z
22,"NH-Bypass, Belagavi",2026-03-17T00:00:00.000Z,2026-03-18T00:00:00.000Z
23,"Layout, Mysuru",2026-05-18T00:00:00.000Z,2026-05-19T00:00:00.000Z
24,"NH-Bypass, Bengaluru Urban",2026-06-20T00:00:00.000Z,2026-06-21T00:00:00.000Z
25,"Layout, Vijayapura",2025-04-11T00:00:00.000Z,2025-04-12T00:00:00.000Z
26,"Market Rd, Vijayapura",2025-04-20T00:00:00.000Z,2025-04-21T00:00:00.000Z
27,"Market Rd, Ballari",2025-07-10T00:00:00.000Z,2025-07-11T00:00:00.000Z
28,"Old Town, Hubballi-Dharwad",2026-05-24T00:00:00.000Z,2026-05-25T00:00:00.000Z
29,"Old Town, Ballari",2025-08-11T00:00:00.000Z,2025-08-12T00:00:00.000Z
30,"Bus Stand, Belagavi",2025-06-17T00:00:00.000Z,2025-06-18T00:00:00.000Z
31,"Market Rd, Dakshina Kannada",2026-05-18T00:00:00.000Z,2026-05-19T00:00:00.000Z
32,"Layout, Belagavi",2026-03-04T00:00:00.000Z,2026-03-05T00:00:00.000Z
33,"Bus Stand, Shivamogga",2026-01-29T00:00:00.000Z,2026-01-30T00:00:00.000Z
34,"Market Rd, Belagavi",2026-03-17T00:00:00.000Z,2026-03-18T00:00:00.000Z
35,"Market Rd, Tumakuru",2026-06-25T00:00:00.000Z,2026-06-26T00:00:00.000Z
36,"Layout, Mandya",2026-01-15T00:00:00.000Z,2026-01-16T00:00:00.000Z
37,"Bus Stand, Shivamogga",2025-02-03T00:00:00.000Z,2025-02-04T00:00:00.000Z
38,"Layout, Dakshina Kannada",2026-03-22T00:00:00.000Z,2026-03-23T00:00:00.000Z
39,"NH-Bypass, Belagavi",2025-02-19T00:00:00.000Z,2025-02-20T00:00:00.000Z
40,"Market Rd, Vijayapura",2025-09-22T00:00:00.000Z,2025-09-23T00:00:00.000Z
41,"Old Town, Mysuru",2025-12-18T00:00:00.000Z,2025-12-19T00:00:00.000Z
42,"NH-Bypass, Vijayapura",2026-06-26T00:00:00.000Z,2026-06-27T00:00:00.000Z
43,"Bus Stand, Hubballi-Dharwad",2026-01-25T00:00:00.000Z,2026-01-26T00:00:00.000Z
44,"Old Town, Hubballi-Dharwad",2026-03-08T00:00:00.000Z,2026-03-09T00:00:00.000Z
45,"Market Rd, Udupi",2025-02-09T00:00:00.000Z,2025-02-10T00:00:00.000Z
46,"Old Town, Kalaburagi",2026-06-29T00:00:00.000Z,2026-06-30T00:00:00.000Z
47,"Old Town, Kalaburagi",2025-10-18T00:00:00.000Z,2025-10-19T00:00:00.000Z
48,"NH-Bypass, Kalaburagi",2026-05-07T00:00:00.000Z,2026-05-08T00:00:00.000Z
49,"Old Town, Hubballi-Dharwad",2026-06-23T00:00:00.000Z,2026-06-24T00:00:00.000Z
50,"Layout, Kalaburagi",2026-03-24T00:00:00.000Z,2026-03-25T00:00:00.000Z
51,"Layout, Mandya",2025-06-01T00:00:00.000Z,2025-06-02T00:00:00.000Z
52,"Bus Stand, Kalaburagi",2026-02-06T00:00:00.000Z,2026-02-07T00:00:00.000Z
53,"Old Town, Vijayapura",2026-03-29T00:00:00.000Z,2026-03-30T00:00:00.000Z
54,"NH-Bypass, Udupi",2025-06-30T00:00:00.000Z,2025-07-01T00:00:00.000Z
55,"Market Rd, Udupi",2025-11-11T00:00:00.000Z,2025-11-12T00:00:00.000Z
56,"NH-Bypass, Mysuru",2026-05-01T00:00:00.000Z,2026-05-02T00:00:00.000Z
57,"Old Town, Kalaburagi",2025-03-22T00:00:00.000Z,2025-03-23T00:00:00.000Z
58,"Layout, Udupi",2025-11-20T00:00:00.000Z,2025-11-21T00:00:00.000Z
59,"Old Town, Hubballi-Dharwad",2025-05-17T00:00:00.000Z,2025-05-18T00:00:00.000Z
60,"Old Town, Mandya",2026-03-06T00:00:00.000Z,2026-03-07T00:00:00.000Z
61,"Bus Stand, Vijayapura",2026-04-15T00:00:00.000Z,2026-04-16T00:00:00.000Z
62,"Bus Stand, Hubballi-Dharwad",2026-04-10T00:00:00.000Z,2026-04-11T00:00:00.000Z
63,"NH-Bypass, Bengaluru Urban",2026-01-31T00:00:00.000Z,2026-02-01T00:00:00.000Z
64,"Old Town, Udupi",2026-05-31T00:00:00.000Z,2026-06-01T00:00:00.000Z
65,"Market Rd, Shivamogga",2026-03-27T00:00:00.000Z,2026-03-28T00:00:00.000Z
66,"Market Rd, Vijayapura",2025-12-02T00:00:00.000Z,2025-12-03T00:00:00.000Z
67,"Old Town, Udupi",2025-03-19T00:00:00.000Z,2025-03-20T00:00:00.000Z
68,"Bus Stand, Shivamogga",2026-07-11T00:00:00.000Z,2026-07-12T00:00:00.000Z
69,"Bus Stand, Mysuru",2025-03-13T00:00:00.000Z,2025-03-14T00:00:00.000Z
70,"Layout, Belagavi",2025-07-01T00:00:00.000Z,2025-07-02T00:00:00.000Z
71,"Market Rd, Shivamogga",2025-12-18T00:00:00.000Z,2025-12-19T00:00:00.000Z
72,"Bus Stand, Udupi",2026-04-06T00:00:00.000Z,2026-04-07T00:00:00.000Z
73,"Old Town, Mysuru",2026-04-15T00:00:00.000Z,2026-04-16T00:00:00.000Z
74,"Layout, Dakshina Kannada",2026-06-03T00:00:00.000Z,2026-06-04T00:00:00.000Z
75,"Market Rd, Bengaluru Urban",2026-04-07T00:00:00.000Z,2026-04-08T00:00:00.000Z
76,"Old Town, Tumakuru",2026-01-09T00:00:00.000Z,2026-01-10T00:00:00.000Z
77,"Old Town, Dakshina Kannada",2025-12-27T00:00:00.000Z,2025-12-28T00:00:00.000Z
78,"NH-Bypass, Bengaluru Urban",2026-02-22T00:00:00.000Z,2026-02-23T00:00:00.000Z
79,"Market Rd, Belagavi",2025-07-01T00:00:00.000Z,2025-07-02T00:00:00.000Z
80,"Bus Stand, Bengaluru Urban",2025-07-21T00:00:00.000Z,2025-07-22T00:00:00.000Z
81,"Bus Stand, Ballari",2025-07-27T00:00:00.000Z,2025-07-28T00:00:00.000Z
82,"Bus Stand, Tumakuru",2025-06-29T00:00:00.000Z,2025-06-30T00:00:00.000Z
83,"Layout, Udupi",2025-12-23T00:00:00.000Z,2025-12-24T00:00:00.000Z
