org_id,criminal_id,role
1,7,leader
1,36,member
1,28,member
1,20,member
1,10,member
1,64,member
1,3,member
2,18,leader
2,7,member
2,43,member
2,68,member
2,26,member
2,30,member
2,4,member
3,19,leader
3,59,member
3,70,member
3,39,member
3,13,member
3,21,member
3,26,member
3,53,member
4,32,leader
4,49,member
4,7,member
4,28,member
4,16,member
5,65,leader
5,70,member
5,32,member
5,26,member
5,62,member
5,34,member
5,27,member
5,57,member
5,5,member
6,42,leader
6,55,member
6,12,member
6,48,member
6,46,member
6,57,member
6,21,member
