id,station_code,name,district
1,U-1,Bengaluru Urban City PS,Bengaluru Urban
2,U-2,Bengaluru Urban Rural PS,Bengaluru Urban
3,U-3,Mysuru City PS,Mysuru
4,U-4,Mysuru Rural PS,Mysuru
5,U-5,Dakshina Kannada City PS,Dakshina Kannada
6,U-6,Dakshina Kannada Rural PS,Dakshina Kannada
7,U-7,Hubballi-Dharwad City PS,Hubballi-Dharwad
8,U-8,Hubballi-Dharwad Rural PS,Hubballi-Dharwad
9,U-9,Belagavi City PS,Belagavi
10,U-10,Belagavi Rural PS,Belagavi
11,U-11,Kalaburagi City PS,Kalaburagi
12,U-12,Kalaburagi Rural PS,Kalaburagi
13,U-13,Ballari City PS,Ballari
14,U-14,Ballari Rural PS,Ballari
15,U-15,Vijayapura City PS,Vijayapura
16,U-16,Vijayapura Rural PS,Vijayapura
17,U-17,Shivamogga City PS,Shivamogga
18,U-18,Shivamogga Rural PS,Shivamogga
19,U-19,Tumakuru City PS,Tumakuru
20,U-20,Tumakuru Rural PS,Tumakuru
21,U-21,Udupi City PS,Udupi
22,U-22,Udupi Rural PS,Udupi
23,U-23,Mandya City PS,Mandya
24,U-24,Mandya Rural PS,Mandya
