id,source_type,source_id,target_type,target_id,rel_type,confidence,frequency,note
1,criminal,62,fir,1,involved_in,0.9,1,
2,criminal,65,fir,1,involved_in,0.9,1,
3,criminal,69,fir,3,involved_in,0.9,1,
4,criminal,38,fir,4,involved_in,0.9,1,
5,criminal,9,fir,4,involved_in,0.9,1,
6,criminal,6,fir,4,involved_in,0.9,1,
7,criminal,64,fir,6,involved_in,0.9,1,
8,criminal,21,fir,6,involved_in,0.9,1,
9,criminal,61,fir,7,involved_in,0.9,1,
10,criminal,29,fir,7,involved_in,0.9,1,
11,criminal,61,fir,9,involved_in,0.9,1,
12,criminal,28,fir,9,involved_in,0.9,1,
13,criminal,35,fir,13,involved_in,0.9,1,
14,criminal,65,fir,13,involved_in,0.9,1,
15,criminal,66,fir,13,involved_in,0.9,1,
16,criminal,41,fir,15,involved_in,0.9,1,
17,criminal,19,fir,15,involved_in,0.9,1,
18,criminal,24,fir,15,involved_in,0.9,1,
19,criminal,3,fir,17,involved_in,0.9,1,
20,criminal,9,fir,17,involved_in,0.9,1,
21,criminal,5,fir,17,involved_in,0.9,1,
22,criminal,64,fir,20,involved_in,0.9,1,
23,criminal,65,fir,23,involved_in,0.9,1,
24,criminal,26,fir,23,involved_in,0.9,1,
25,criminal,45,fir,24,involved_in,0.9,1,
26,criminal,69,fir,25,involved_in,0.9,1,
27,criminal,18,fir,25,involved_in,0.9,1,
28,criminal,8,fir,27,involved_in,0.9,1,
29,criminal,23,fir,28,involved_in,0.9,1,
30,criminal,5,fir,29,involved_in,0.9,1,
31,criminal,30,fir,29,involved_in,0.9,1,
32,criminal,34,fir,29,involved_in,0.9,1,
33,criminal,63,fir,30,involved_in,0.9,1,
34,criminal,22,fir,31,involved_in,0.9,1,
35,criminal,34,fir,31,involved_in,0.9,1,
36,criminal,39,fir,32,involved_in,0.9,1,
37,criminal,43,fir,32,involved_in,0.9,1,
38,criminal,69,fir,32,involved_in,0.9,1,
39,criminal,50,fir,33,involved_in,0.9,1,
40,criminal,51,fir,33,involved_in,0.9,1,
41,criminal,54,fir,34,involved_in,0.9,1,
