ArrestSurrenderID,AccusedMasterID
1,117
2,140
3,200
4,449
5,505
6,559
7,637
8,292
9,406
10,19
11,230
12,453
13,332
14,30
15,78
16,106
17,114
18,115
19,171
20,315
21,51
22,84
23,451
24,58
25,296
26,108
27,148
28,253
29,316
30,386
31,437
32,441
33,631
34,215
35,321
36,336
37,377
38,436
39,452
40,467
41,628
42,649
43,428
44,342
45,393
46,402
47,565
48,131
49,269
50,362
51,285
52,27
53,146
54,170
55,195
56,243
57,394
58,410
59,512
60,539
61,683
62,389
63,164
64,204
65,350
66,432
67,236
68,507
69,610
70,687
71,34
72,123
73,358
74,133
75,137
76,355
77,424
78,522
79,556
80,597
81,604
82,92
83,229
84,345
85,532
86,614
87,24
88,60
89,188
90,248
91,392
92,545
93,563
94,154
95,338
96,343
97,268
98,291
99,403
100,94
101,440
102,530
103,101
104,122
105,172
106,590
107,506
108,63
109,397
110,210
111,557
112,655
113,102
114,112
115,165
116,13
117,189
118,222
119,226
120,388
121,471
122,486
123,560
124,75
125,340
126,461
127,618
128,4
129,217
130,295
131,621
132,361
133,542
134,680
135,70
136,88
137,135
138,250
139,227
140,297
141,554
142,37
143,111
144,319
145,549
146,595
147,672
148,86
149,207
150,286
151,371
152,460
153,613
154,163
155,426
156,525
157,138
158,282
159,313
160,588
161,205
162,232
163,664
164,409
165,476
166,39
167,212
168,574
169,594
170,657
171,177
172,211
173,301
174,634
175,695
176,299
177,540
178,670
179,677
180,264
181,284
182,380
183,491
184,587
185,601
186,617
187,369
188,537
189,599
190,660
191,93
192,180
193,267
194,368
195,527
196,550
197,622
198,116
199,314
200,372
201,421
202,444
203,607
204,638
205,327
206,500
207,191
208,1
209,352
210,33
211,305
212,354
213,459
214,689
215,7
216,61
217,198
218,239
219,272
220,442
221,454
222,697
223,2
224,155
225,216
226,235
227,260
228,273
229,465
230,688
231,69
232,143
233,245
234,300
235,357
236,425
237,493
238,629
239,671
240,686
241,370
242,53
243,181
244,293
245,346
246,446
247,673
248,334
249,475
250,518
251,656
